Rank,Feature,Importance
1,SYMPT-fatigue___2,0.1659
2,SYMPT-shortness_of_breath_dyspne___2,0.1153
3,SYMPT-loss_of_taste_lost_of_smel___2,0.0566
4,SYMPT-cough___2,0.0501
5,LABS-IND-triglycerides,0.0466
6,SYMPT-joint_pain_arthralgia___2,0.0444
7,SYMPT-muscle_aches_myalgia___2,0.0432
8,LABS-IND-monocyte_count,0.041
9,SYMPT-headache___2,0.0384
10,LABS-IND-bilirubin,0.0356
11,LABS-IND-albumin,0.0284
12,SYMPT-dizziness___2,0.0203
13,LABS-IND-haemoglobin,0.0196
14,LABS-IND-lymphocyte_count,0.0192
15,LABS-IND-eosinophil_count,0.0148
16,SYMPT-chest_pain___2,0.0141
17,age,0.0139
18,LABS-IND-crp,0.0131
19,LABS-IND-ferritin,0.0115
20,SYMPT-extremity_weakness_or_numb___2,0.0109
20,LABS-IND-alt,0.0109
22,LABS-IND-wbc,0.0102
23,LABS-IND-bilirubin_direct,0.0101
23,SYMPT-abdominal_pain___2,0.0101
25,CD-mode_of_diag,0.0098
26,LABS-IND-fibrinogen,0.0086
27,SYMPT-sore_throat___2,0.0085
28,LABS-IND-platelets,0.007
29,CD-temperature,0.0068
30,SYMPT-confusion_altered_mental_s___2,0.0065
31,SYMPT-leg_swelling_edema___2,0.0064
32,CD-severity_level___0,0.0058
33,SYMPT-shortness_of_breath_dyspne___1,0.0047
34,SYMPT-nausea_vomiting___2,0.0044
35,LABS-IND-neutrophil_count,0.0043
36,SYMPT-chest_pain___1,0.0036
37,CD-heart_rate,0.0035
38,SYMPT-loss_of_appetite___2,0.0034
38,CD-o2_saturation,0.0034
40,LABS-IND-potassium,0.0033
40,CD-bp_systolic,0.0033
42,CD-bp_diastolic,0.0032
45,LABS-IND-creatinine,0.0031
45,LABS-IND-ldh,0.0031
45,LABS-IND-sodium,0.0031
45,IMG-ekg,0.0031
45,LABS-IND-lymphocyte,0.0031
48,SYMPT-loss_of_taste_lost_of_smel___1,0.003
50,CD-spo2,0.0029
50,LABS-IND-neutrophil,0.0029
50,LABS-IND-aptt,0.0029
52,CD-respiratory-other-4,0.0028
53,IMG-cxr,0.0027
55,VAX-vaccinated,0.0026
55,SYMPT-diarrhea___2,0.0026
55,LABS-IND-ast,0.0026
57,LABS-IND-monocyte,0.0024
58,LABS-IND-urea,0.0023
59,SYMPT-dizziness___1,0.0021
59,CD-severity_level___1,0.0021
61,LABS-IND-glucose,0.002
62,SYMPT-skin_rash___2,0.0018
62,IMG-echocardiogram,0.0018
64,LABS-IND-basophil,0.0011
65,SYMPT-wheezing_or_stridor___2,0.001
66,SYMPT-ear_pain___2,0.0009
66,CD-adjunctive___1,0.0009
68,SYMPT-weight_loss___2,0.0007
