MainDataset,Title,date,brt_nTrue,brt_nTop,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,RunType,brt_md,brt_params
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,0.12126808166503907,0.006474650061279135,0.025470972061157227,0.0020128938480970422,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.6334841628959276,0.6877828054298643,0.665158371040724,0.6454545454545455,0.6681818181818182,0.6600123406005759,0.01886846216266328,41,0.5467739189649302,0.6141896493020088,0.5833902939166097,0.5568181818181818,0.5871212121212122,0.5776586512245885,0.023854129449778497,41,0.8143939393939394,0.762129724208376,0.7007006151742995,0.7595557851239669,0.7424242424242424,0.7558408612649649,0.03661219964665701,41,0.18181818181818182,0.3783783783783784,0.3018867924528302,0.20408163265306123,0.3047619047619048,0.27418537801287124,0.07211755364890941,41,0.10112359550561797,0.23595505617977527,0.18181818181818182,0.11363636363636363,0.18181818181818182,0.1628702757916241,0.049590446746164675,41,0.10112359550561797,0.23595505617977527,0.18181818181818182,0.11363636363636363,0.18181818181818182,0.1628702757916241,0.049590446746164675,41,0.9924242424242424,0.9924242424242424,0.9849624060150376,1.0,0.9924242424242424,0.9924470266575529,0.004755386626509886,2,0.9,0.9545454545454546,0.8888888888888888,1.0,0.9411764705882353,0.9369221628045157,0.0399447984122631,2,0.6208530805687204,0.6582914572864321,0.645320197044335,0.6285714285714286,0.645320197044335,0.6396712721030502,0.013325635904505124,41,0.9,0.9545454545454546,0.8888888888888888,1.0,0.9411764705882353,0.9369221628045157,0.0399447984122631,2,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,1.1133242130279541,0.012503906858639509,0.08958196640014648,0.002561452695897783,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.669683257918552,0.6787330316742082,0.669683257918552,0.6454545454545455,0.6545454545454545,0.6636199095022624,0.011952079597860972,40,0.5898876404494382,0.6029536942458291,0.5852272727272727,0.5568181818181818,0.5700757575757576,0.5809925093632959,0.016018263333348756,40,0.8081375553285666,0.7835376234252639,0.7074504442925496,0.7692837465564738,0.7393250688705234,0.7615468876946754,0.03502677882479211,40,0.3047619047619048,0.3486238532110092,0.2912621359223301,0.20408163265306123,0.2549019607843137,0.2807262974665238,0.048662292168668526,40,0.1797752808988764,0.21348314606741572,0.17045454545454544,0.11363636363636363,0.14772727272727273,0.16501532175689476,0.03327234743297649,40,0.1797752808988764,0.21348314606741572,0.17045454545454544,0.11363636363636363,0.14772727272727273,0.16501532175689476,0.03327234743297649,40,1.0,0.9924242424242424,1.0,1.0,0.9924242424242424,0.9969696969696968,0.003711348095126024,1,1.0,0.95,1.0,1.0,0.9285714285714286,0.9757142857142858,0.030505937862946603,1,0.6439024390243903,0.6517412935323383,0.6456310679611651,0.6285714285714286,0.6359223300970874,0.6411537118372819,0.008066973562030936,40,1.0,0.95,1.0,1.0,0.9285714285714286,0.9757142857142858,0.030505937862946603,1,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,0.09111361503601074,0.012434450085603324,0.018557643890380858,0.0025441656232425753,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.7647058823529411,0.7239819004524887,0.7285067873303167,0.7363636363636363,0.7318181818181818,0.737075277663513,0.014397564786799091,22,0.7170156622403814,0.6627936670071501,0.668703007518797,0.6761363636363636,0.6742424242424243,0.6797782249290233,0.01919203287262342,39,0.8279707184201566,0.7870275791624106,0.7448735475051265,0.797004132231405,0.7639462809917356,0.7841644516621669,0.028441496016248163,29,0.6176470588235294,0.5040650406504065,0.5238095238095238,0.532258064516129,0.5354330708661418,0.542642551733146,0.039059947708910955,39,0.47191011235955055,0.34831460674157305,0.375,0.375,0.38636363636363635,0.39131767109295196,0.04219355489364166,39,0.47191011235955055,0.34831460674157305,0.375,0.375,0.38636363636363635,0.39131767109295196,0.04219355489364166,39,0.9621212121212122,0.9772727272727273,0.9624060150375939,0.9772727272727273,0.9621212121212122,0.9682387787650946,0.007376921136390867,4,0.8936170212765957,0.9117647058823529,0.868421052631579,0.9166666666666666,0.8717948717948718,0.8924528636504132,0.019823679467891066,4,0.7298850574712644,0.6898395721925134,0.6994535519125683,0.7010869565217391,0.7016574585635359,0.7043845193323243,0.013449595929220688,39,0.8936170212765957,0.9117647058823529,0.868421052631579,0.9166666666666666,0.8717948717948718,0.8924528636504132,0.019823679467891066,4,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,1.1577389240264893,0.14288760002206685,0.08935365676879883,0.01583013716831083,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.755656108597285,0.7420814479638009,0.7420814479638009,0.7272727272727273,0.7545454545454545,0.7443274372686137,0.010331493019901163,17,0.7021195097037793,0.6852655771195098,0.683826042378674,0.6647727272727273,0.7007575757575758,0.6873482864464532,0.013597042544370469,38,0.8244807626830098,0.803966632618318,0.7499145591250854,0.8064738292011018,0.7669593663911846,0.79035903000374,0.027540681636292898,24,0.5846153846153846,0.5511811023622047,0.5511811023622047,0.5081967213114754,0.5846153846153846,0.5559579390533308,0.028175409952710385,38,0.42696629213483145,0.39325842696629215,0.3977272727272727,0.3522727272727273,0.4318181818181818,0.40040858018386105,0.028521043371837623,38,0.42696629213483145,0.39325842696629215,0.3977272727272727,0.3522727272727273,0.4318181818181818,0.40040858018386105,0.028521043371837623,38,0.9772727272727273,0.9772727272727273,0.9699248120300752,0.9772727272727273,0.9696969696969697,0.9742879927090454,0.0036562483280450026,3,0.926829268292683,0.9210526315789473,0.8974358974358975,0.9117647058823529,0.9047619047619048,0.912368881590357,0.010637061981179197,3,0.7166666666666667,0.7049180327868853,0.7087912087912088,0.6935483870967742,0.7191011235955056,0.7086050837874082,0.009115800272094198,38,0.926829268292683,0.9210526315789473,0.8974358974358975,0.9117647058823529,0.9047619047619048,0.912368881590357,0.010637061981179197,3,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,0.1396338939666748,0.0219380690557431,0.023787736892700195,0.003960015868224042,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.8009049773755657,0.7647058823529411,0.7375565610859729,0.7772727272727272,0.7772727272727272,0.7715425750719869,0.020637875237129902,4,0.7619594824651005,0.7206758597208036,0.6877563226247436,0.7348484848484849,0.7329545454545454,0.7276389390227356,0.024071728184927244,9,0.8289921688798093,0.8062648961525366,0.769565960355434,0.8253271349862258,0.7816804407713499,0.8023661202290711,0.023473827730026858,12,0.6944444444444444,0.6285714285714286,0.5735294117647058,0.6524822695035462,0.6474820143884892,0.6393019137345228,0.03930012683238225,33,0.5617977528089888,0.4943820224719101,0.4431818181818182,0.5227272727272727,0.5113636363636364,0.5066905005107252,0.038731581120516355,36,0.5617977528089888,0.4943820224719101,0.4431818181818182,0.5227272727272727,0.5113636363636364,0.5066905005107252,0.038731581120516355,36,0.9621212121212122,0.946969696969697,0.9323308270676691,0.946969696969697,0.9545454545454546,0.9485873775347461,0.009881017904943331,6,0.9090909090909091,0.8627450980392157,0.8125,0.8679245283018868,0.8823529411764706,0.8669226953216963,0.03161182213690876,6,0.7650602409638554,0.7352941176470589,0.7167630057803468,0.7485029940119761,0.7455621301775148,0.7422364977161504,0.01592700533909628,37,0.9090909090909091,0.8627450980392157,0.8125,0.8679245283018868,0.8823529411764706,0.8669226953216963,0.03161182213690876,6,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,1.3489365577697754,0.15865724555444968,0.10140347480773926,0.018937878134622613,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.8099547511312217,0.7828054298642534,0.751131221719457,0.7681818181818182,0.759090909090909,0.7742328259975318,0.02073220651897109,3,0.771365338781069,0.7376574736125299,0.700956937799043,0.7234848484848485,0.7159090909090908,0.7298747379173163,0.02389204922954379,6,0.8342696629213482,0.8192032686414709,0.775205058099795,0.8273071625344353,0.793474517906336,0.8098919340206772,0.022167434294403657,4,0.7083333333333334,0.6521739130434783,0.5925925925925926,0.6330935251798561,0.624113475177305,0.6420613678653131,0.03832478508310044,29,0.5730337078651685,0.5056179775280899,0.45454545454545453,0.5,0.5,0.5066394279877426,0.03797680828742231,37,0.5730337078651685,0.5056179775280899,0.45454545454545453,0.5,0.5,0.5066394279877426,0.03797680828742231,37,0.9696969696969697,0.9696969696969697,0.9473684210526315,0.946969696969697,0.9318181818181818,0.9531100478468899,0.014657869552191788,5,0.9272727272727272,0.9183673469387755,0.851063829787234,0.8627450980392157,0.8301886792452831,0.8779275362566471,0.03821384510533373,5,0.7710843373493976,0.7441860465116279,0.7241379310344828,0.7396449704142012,0.7365269461077845,0.7431160462834988,0.015485500785289357,36,0.9272727272727272,0.9183673469387755,0.851063829787234,0.8627450980392157,0.8301886792452831,0.8779275362566471,0.03821384510533373,5,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,0.1568044662475586,0.028865346174663343,0.026669025421142578,0.004886968986077526,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.7828054298642534,0.755656108597285,0.7239819004524887,0.7727272727272727,0.7681818181818182,0.7606705059646235,0.020312253678103416,6,0.7486380660537963,0.714930200885257,0.6822453861927547,0.7348484848484849,0.7329545454545454,0.7227233366869676,0.022901823031262553,16,0.8236295539666327,0.811116785835887,0.7786226930963773,0.8297176308539945,0.7919249311294766,0.8070023189764737,0.019194321889721602,5,0.68,0.625,0.5793103448275863,0.6575342465753424,0.6577181208053692,0.6399125424416596,0.03501307643913199,30,0.5730337078651685,0.5056179775280899,0.4772727272727273,0.5454545454545454,0.5568181818181818,0.5316394279877426,0.03513165965993149,35,0.5730337078651685,0.5056179775280899,0.4772727272727273,0.5454545454545454,0.5568181818181818,0.5316394279877426,0.03513165965993149,35,0.9242424242424242,0.9242424242424242,0.8872180451127819,0.9242424242424242,0.9090909090909091,0.9138072453861927,0.014532090506973738,9,0.8360655737704918,0.8181818181818182,0.7368421052631579,0.8275862068965517,0.8032786885245902,0.8043908785273219,0.035484005775993414,10,0.7625,0.7349397590361446,0.7195121951219512,0.7530864197530864,0.7547169811320755,0.7449510710086514,0.015600542184588121,35,0.8360655737704918,0.8181818181818182,0.7368421052631579,0.8275862068965517,0.8032786885245902,0.8043908785273219,0.035484005775993414,10,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,1.2820411682128907,0.29774986081468136,0.09537882804870605,0.016902101585813928,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.8009049773755657,0.7737556561085973,0.751131221719457,0.7772727272727272,0.7727272727272727,0.775158371040724,0.01582744447302885,2,0.7674497786857337,0.7319118147769834,0.7067241968557758,0.7386363636363635,0.7329545454545454,0.7355353398818804,0.019380506438292082,2,0.8368232890704801,0.8220122574055158,0.7855434039644565,0.8429752066115702,0.7995006887052342,0.8173709691514514,0.021853384688704718,2,0.7066666666666667,0.647887323943662,0.6099290780141844,0.6620689655172414,0.6527777777777778,0.6558659623839065,0.030992198065369632,14,0.5955056179775281,0.5168539325842697,0.48863636363636365,0.5454545454545454,0.5340909090909091,0.5361082737487232,0.03533773891971558,34,0.5955056179775281,0.5168539325842697,0.48863636363636365,0.5454545454545454,0.5340909090909091,0.5361082737487232,0.03533773891971558,34,0.9393939393939394,0.946969696969697,0.924812030075188,0.9318181818181818,0.9318181818181818,0.9349624060150376,0.007571207928443553,7,0.8688524590163934,0.8679245283018868,0.8113207547169812,0.8421052631578947,0.8392857142857143,0.845897743895774,0.021287405684695428,7,0.775,0.7440476190476191,0.7321428571428571,0.754601226993865,0.75,0.7511583406368683,0.014098020532802813,34,0.8688524590163934,0.8679245283018868,0.8113207547169812,0.8421052631578947,0.8392857142857143,0.845897743895774,0.021287405684695428,7,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,0.1975550174713135,0.002824838354919245,0.02816319465637207,0.00044451815136977595,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",0.7782805429864253,0.7737556561085973,0.751131221719457,0.7909090909090909,0.7818181818181819,0.7751789387083504,0.013277466717445388,1,0.7503404834865509,0.7392322097378277,0.710569036226931,0.7556818181818181,0.7481060606060606,0.7407859216478376,0.016013968933952922,1,0.837121212121212,0.8061797752808989,0.7819548872180451,0.8435347796143251,0.8176652892561983,0.8172911886981359,0.022154970344300636,3,0.6878980891719745,0.6666666666666666,0.6206896551724138,0.6891891891891891,0.68,0.6688887200400488,0.025396901701294456,2,0.6067415730337079,0.5617977528089888,0.5113636363636364,0.5795454545454546,0.5795454545454546,0.5677987742594485,0.031665273154116186,32,0.6067415730337079,0.5617977528089888,0.5113636363636364,0.5795454545454546,0.5795454545454546,0.5677987742594485,0.031665273154116186,32,0.8939393939393939,0.9166666666666666,0.9097744360902256,0.9318181818181818,0.9166666666666666,0.913773069036227,0.012261611991013447,10,0.7941176470588235,0.819672131147541,0.7894736842105263,0.85,0.8225806451612904,0.8151688215156362,0.02187152463430158,9,0.7712418300653595,0.75625,0.7378048780487805,0.76875,0.7658227848101266,0.7599738985848533,0.012194495464541417,19,0.7941176470588235,0.819672131147541,0.7894736842105263,0.85,0.8225806451612904,0.8151688215156362,0.02187152463430158,9,5,Holdout,,T1000_itrr500_th100_topR5
dfcmpltPreLC,dfcmpltPreLC_Holdout,2024-04-30 21:04:32.324754,,,1.9145950317382812,0.020503604549473663,0.13430371284484863,0.002804691438145329,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",0.7918552036199095,0.7601809954751131,0.755656108597285,0.7772727272727272,0.7681818181818182,0.7706293706293705,0.012915322728156653,5,0.7598740211099761,0.7223782771535581,0.7143284347231715,0.7424242424242424,0.7329545454545454,0.7343919041730987,0.01589209100140118,4,0.8352485529451822,0.8090313244807628,0.7901572112098428,0.8556732093663912,0.8143078512396693,0.8208836298483696,0.022558797254311844,1,0.6973684210526315,0.6394557823129252,0.625,0.6711409395973155,0.6577181208053692,0.6581366527536483,0.025121428961379404,10,0.5955056179775281,0.5280898876404494,0.5113636363636364,0.5681818181818182,0.5568181818181818,0.5519918283963228,0.02966753141084265,33,0.5955056179775281,0.5280898876404494,0.5113636363636364,0.5681818181818182,0.5568181818181818,0.5519918283963228,0.02966753141084265,33,0.9242424242424242,0.9166666666666666,0.9172932330827067,0.9166666666666666,0.9090909090909091,0.9167919799498746,0.004797880241778943,8,0.8412698412698413,0.8103448275862069,0.8035714285714286,0.819672131147541,0.8032786885245902,0.8156273834199217,0.014139570982375595,8,0.7721518987341772,0.7423312883435583,0.7393939393939394,0.7610062893081762,0.7547169811320755,0.7539200793823854,0.012071101698626638,29,0.8412698412698413,0.8103448275862069,0.8035714285714286,0.819672131147541,0.8032786885245902,0.8156273834199217,0.014139570982375595,8,5,Holdout,,T1000_itrr500_th100_topR5
