Rank,Feature,Importance
1,CD-mode_of_diag,0.0979
2,LABS-IND-crp,0.0964
3,LABS-IND-wbc,0.0845
4,LABS-IND-haemoglobin,0.0833
5,LABS-IND-lymphocyte_count,0.0815
6,LABS-IND-neutrophil_count,0.0802
7,LABS-IND-platelets,0.0604
8,age,0.0482
9,VAX-vaccinated,0.0383
10,IMG-cxr,0.0302
11,LABS-IND-ferritin,0.0277
12,SYMPT-chest_pain___1,0.0247
13,CD-bp_systolic,0.0194
14,CD-temperature,0.019
15,LABS-IND-ldh,0.0183
16,CD-bp_diastolic,0.0164
17,SYMPT-fatigue___2,0.0136
18,CD-heart_rate,0.0132
19,SYMPT-muscle_aches_myalgia___2,0.013
20,SYMPT-shortness_of_breath_dyspne___2,0.0128
21,LABS-IND-alt,0.0121
22,CD-o2_saturation,0.0118
23,SYMPT-headache___2,0.011
24,SYMPT-shortness_of_breath_dyspne___1,0.01
25,SYMPT-loss_of_taste_lost_of_smel___1,0.0071
26,SYMPT-cough___2,0.0066
27,SYMPT-chest_pain___2,0.0048
28,SYMPT-extremity_weakness_or_numb___2,0.0047
29,LABS-IND-sodium,0.0044
31,LABS-IND-potassium,0.0042
31,SYMPT-joint_pain_arthralgia___2,0.0042
31,LABS-IND-urea,0.0042
33,SYMPT-dizziness___1,0.0033
33,LABS-IND-monocyte_count,0.0033
35,LABS-IND-albumin,0.0032
36,SYMPT-dizziness___2,0.0029
37,LABS-IND-glucose,0.0027
37,SYMPT-loss_of_taste_lost_of_smel___2,0.0027
39,LABS-IND-creatinine,0.0026
39,LABS-IND-eosinophil_count,0.0026
41,SYMPT-ear_pain___2,0.0023
41,SYMPT-leg_swelling_edema___2,0.0023
43,LABS-IND-bilirubin,0.0017
44,IMG-ekg,0.0013
45,SYMPT-confusion_altered_mental_s___2,0.0011
46,SYMPT-skin_rash___2,0.0009
47,SYMPT-loss_of_appetite___2,0.0008
48,SYMPT-sore_throat___2,0.0006
48,SYMPT-wheezing_or_stridor___2,0.0006
50,SYMPT-abdominal_pain___2,0.0005
51,SYMPT-nausea_vomiting___2,0.0004
60,IMG-echocardiogram,0.0
60,SYMPT-diarrhea___2,0.0
60,CD-respiratory-other-4,0.0
60,LABS-IND-triglycerides,0.0
60,CD-severity_level___1,0.0
60,CD-severity_level___0,0.0
60,LABS-IND-aptt,0.0
60,LABS-IND-neutrophil,0.0
60,SYMPT-weight_loss___2,0.0
60,LABS-IND-monocyte,0.0
60,LABS-IND-ast,0.0
60,LABS-IND-lymphocyte,0.0
60,LABS-IND-basophil,0.0
60,CD-adjunctive___1,0.0
60,LABS-IND-bilirubin_direct,0.0
60,CD-spo2,0.0
60,LABS-IND-fibrinogen,0.0
