MainDataset,Title,date,brt_nTrue,brt_nTop,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_clf,param_clf__max_depth,param_clf__n_estimators,param_clf__random_state,param_clf__max_iter,param_clf__learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,split3_test_accuracy,split4_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_balanced_accuracy,split1_test_balanced_accuracy,split2_test_balanced_accuracy,split3_test_balanced_accuracy,split4_test_balanced_accuracy,mean_test_balanced_accuracy,std_test_balanced_accuracy,rank_test_balanced_accuracy,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,split3_test_roc_auc,split4_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_sensitivity,split1_test_sensitivity,split2_test_sensitivity,split3_test_sensitivity,split4_test_sensitivity,mean_test_sensitivity,std_test_sensitivity,rank_test_sensitivity,split0_test_specificity,split1_test_specificity,split2_test_specificity,split3_test_specificity,split4_test_specificity,mean_test_specificity,std_test_specificity,rank_test_specificity,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_NPV,split1_test_NPV,split2_test_NPV,split3_test_NPV,split4_test_NPV,mean_test_NPV,std_test_NPV,rank_test_NPV,split0_test_PPV,split1_test_PPV,split2_test_PPV,split3_test_PPV,split4_test_PPV,mean_test_PPV,std_test_PPV,rank_test_PPV,cv,RunType,brt_md,brt_params
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.09218354225158691,0.01202569427663428,0.023178911209106444,0.0006923136545644903,RandomForestClassifier(),3,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,0.967741935483871,0.9935483870967742,0.0129032258064516,35,1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.8,0.96,0.07999999999999999,35,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.9134788513183594,0.15489528111967202,0.08092389106750489,0.017111839426163383,RandomForestClassifier(),3,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 3, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,0.967741935483871,0.9935483870967742,0.0129032258064516,35,1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.8,0.96,0.07999999999999999,35,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.09892268180847168,0.005832185199037378,0.023592376708984376,0.0005612684604243016,RandomForestClassifier(),6,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,0.967741935483871,0.9935483870967742,0.0129032258064516,35,1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.8,0.96,0.07999999999999999,35,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.8939358711242675,0.16236000645810938,0.07795453071594238,0.01685402862817933,RandomForestClassifier(),6,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 6, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.10214467048645019,0.0017928501091996074,0.023627614974975585,0.0007815831241810831,RandomForestClassifier(),10,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,0.967741935483871,0.9935483870967742,0.0129032258064516,35,1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.8,0.96,0.07999999999999999,35,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.8445521354675293,0.19381647893988313,0.07276411056518554,0.02129910749861921,RandomForestClassifier(),10,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 10, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.10549497604370117,0.0008235639248481564,0.02305879592895508,0.0006749748904690599,RandomForestClassifier(),15,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,0.967741935483871,0.9935483870967742,0.0129032258064516,35,1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.8,0.96,0.07999999999999999,35,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,1.0047754287719726,0.006857186644455069,0.0792281150817871,0.0007087311609162006,RandomForestClassifier(),15,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': 15, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,0.10482392311096192,0.001350903355989649,0.02283625602722168,0.0005461790807666449,RandomForestClassifier(),,100,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 100, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,0.967741935483871,0.9935483870967742,0.0129032258064516,35,1.0,1.0,1.0,1.0,0.9,0.9800000000000001,0.039999999999999994,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9811320754716981,0.9962264150943396,0.007547169811320753,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.8,0.96,0.07999999999999999,35,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,0.9629629629629629,0.9925925925925926,0.014814814814814836,35,5,Holdout,,T1000_itrr500_th100_topR5
dfcmplt_SITE4,dfcmplt_SITE4_Holdout,2024-04-30 16:20:27.877332,,,1.004719352722168,0.022500438885593745,0.08396625518798828,0.004950501139783218,RandomForestClassifier(),,1000,42,,,"{'clf': RandomForestClassifier(), 'clf__max_depth': None, 'clf__n_estimators': 1000, 'clf__random_state': 42}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1,5,Holdout,,T1000_itrr500_th100_topR5
